Product Name,Price (₹),Rating,Number of Reviews,Search Query,Search Timestamp
"Drone with 4K UHD Camera, 45-Minute Flight Time, Foldable Design, Smart Flight Modes (Follow Me, Auto Return), Long-Range Control & Stable Flight for Aerial Photography & Exploration.","2,999","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",3,best drone under 10000,20250529_102806
"Drone with Camera 4K, 3-Axis Gimbal, FPV Drone with GPS, Brushless Motor, 60 Minutes Flight Time, Long Range, 5GHz WiFi Transmission, Follow Me, Auto Return Home","4,999","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",4,best drone under 10000,20250529_102806
"Drone with Camera 4K, 3-Axis Gimbal, FPV Drone with GPS, Brushless Motor, 60 Minutes Flight Time, Long Range, 5GHz WiFi Transmission, Follow Me, Auto Return Home","4,899","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",4,best drone under 10000,20250529_102806
"Drone with 4K UHD Camera, 45-Minute Flight Time, Foldable Design, Smart Flight Modes (Follow Me, Auto Return), Long-Range Control & Stable Flight for Aerial Photography & Exploration.","2,999","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",3,best drone under 10000,20250529_102806
"Drone with Camera 4k HD FPV Foldable Drone for Beginners, Quadcopter with Voice Gesture Control, One Key Take Off/Land, Optical Flow Positioning, 360° Flip, Waypoint Fly","3,499","<span class=""a-icon-alt"">5.0 out of 5 stars</span>",1,best drone under 10000,20250529_102806
"Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude, Off/Landing, Car 3D Series Flips, Headless Shade Mode, Aerial Photography Sun (Multicolour)","1,804","<span class=""a-icon-alt"">4.6 out of 5 stars</span>",246,best drone under 10000,20250529_102806
"Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude, Off/Landing, Car 3D Series Flips, Headless Shade Mode, Aerial Photography Sun (Multicolour)","1,804","<span class=""a-icon-alt"">4.6 out of 5 stars</span>",246,best drone under 10000,20250529_102806
Brushless Drone M3 Five Sided Obstacle Avoidance With Dual Battery 4k 1080p Hd Dual Camera Wifi Fpv Gesture Selfie Flips Mode App One Key Headless Mode Functionality Multicolor (M3-MAX),"3,999","<span class=""a-icon-alt"">3.0 out of 5 stars</span>",3,best drone under 10000,20250529_102806
"HORPIN Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude Hold, One Key Take Off/Landing, 3D Series Flips, Headless Mode, Aerial Code Photography (Multi)","1,799","<span class=""a-icon-alt"">1.7 out of 5 stars</span>",25,best drone under 10000,20250529_102806
"Breatoi! X5UW-D Radio Controlled Rotatable FPV Camera Drone Altitude Hold Mode One Key Take-Off/Landing App Control RC Quadcopter, White","16,999",No rating,No reviews,best drone under 10000,20250529_102806
