Product Name,Price (₹),Rating,Number of Reviews,Search Query,Search Timestamp
"AYKA Dual Season Cooling Memory Foam Pillow for Neck & Shoulder Pain | Neck Orthopedic Pillow for Sleeping, Pain Relief & Spinal Alignment | Ergonomic Design | 2 Years Warranty (Set of 2)","2,499","<span class=""a-icon-alt"">4.6 out of 5 stars</span>",17,best pillow under 1500,20250529_095808
THE WOOD WHITE Basic White Pillow Pack of 2 in 41 x 61 cm with Extra Focus Blue Border & Plush Microfibre Filling,399,"<span class=""a-icon-alt"">4.4 out of 5 stars</span>",76,best pillow under 1500,20250529_095808
"GADDA CO Hollow Sleeping Fiber Pillow with Zip | Set of 2| Height Adjustable Sleeping Bed Pillow, Soft and Fluffy | White and Grey, Standard Size with 3 Months Warranty",694,"<span class=""a-icon-alt"">4.3 out of 5 stars</span>",427,best pillow under 1500,20250529_095808
"MY ARMOR Cervical Pillow for Neck Pain | 2 Years Warranty | for Spondylitis Neck & Shoulder Pain, Orthopedic Memory Foam Pillow for Sleeping, Regular Size - 18.5x11x3.5 Inch, White - Pack of 1",668,"<span class=""a-icon-alt"">4.3 out of 5 stars</span>",800,best pillow under 1500,20250529_095808
"CareFoam Memory Foam Cervical Neck Pillow | 2 Years Warranty | Pain Relief Sleep, Improves Posture Spinal Alignment, Neck Pain Relief | Queen 19 x 11 x 3.5 Inch | White Jacquard Cover | Pack of 1",599,"<span class=""a-icon-alt"">4.3 out of 5 stars</span>",304,best pillow under 1500,20250529_095808
Frido Ultimate Contour Cervical Neck Pillow | for Pain Relief Sleep | Improves Posture & Spinal Alignment | Neck Pain Relief Cushion with Ultra Responsive Memory Foam & Skin Friendly Cover | Blue,"1,249","<span class=""a-icon-alt"">4.1 out of 5 stars</span>","2,635",best pillow under 1500,20250529_095808
amazon basics Hollow Fiber Sleeping Pillow | Soft and Fluffy | Adjustable Height | Set of 2 | White and Grey (27 x 16 Inches),699,"<span class=""a-icon-alt"">4.0 out of 5 stars</span>","20,446",best pillow under 1500,20250529_095808
"Recron Certified Microfiber Pillow, 17 x 27 Inch, White, Pack Of 2",477,"<span class=""a-icon-alt"">4.0 out of 5 stars</span>","50,184",best pillow under 1500,20250529_095808
MY ARMOR Cervical Pillow for Neck Pain and Shoulder Pain for Sleeping | 2 Years Warranty | Memory Foam Pillow with Dual - Pack of 1 - White,958,"<span class=""a-icon-alt"">4.0 out of 5 stars</span>","16,339",best pillow under 1500,20250529_095808
Billebon Premium Neck Pillow for Travelling Airplane Travel Pillow Comfortable Head Rest Neck Holder Pillow (Grey),201,"<span class=""a-icon-alt"">3.9 out of 5 stars</span>","11,844",best pillow under 1500,20250529_095808
